age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,weekday,is_weekend
42,admin.,single,secondary,no,-76,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
24,technician,single,secondary,no,-103,yes,yes,telephone,5,5,0,-1,0,unknown,0,0,False
38,entrepreneur,single,tertiary,no,243,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
38,management,single,tertiary,no,424,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
47,blue-collar,married,secondary,no,306,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
40,blue-collar,single,secondary,no,24,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
46,services,married,primary,no,179,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
32,admin.,married,tertiary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,technician,divorced,secondary,no,989,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,blue-collar,married,primary,no,249,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,services,married,secondary,no,790,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
49,blue-collar,married,tertiary,no,154,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
60,retired,married,tertiary,no,100,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,management,divorced,tertiary,no,59,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
55,technician,married,secondary,no,1205,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
31,services,married,secondary,no,25,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
54,management,married,secondary,no,282,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
55,blue-collar,married,primary,no,23,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
43,technician,married,secondary,no,1937,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,technician,married,secondary,no,384,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,blue-collar,married,secondary,no,582,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
55,services,divorced,secondary,no,91,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
49,services,divorced,secondary,no,0,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
55,services,divorced,secondary,yes,1,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
45,admin.,single,secondary,no,206,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
47,services,divorced,secondary,no,164,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
42,technician,single,secondary,no,690,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,admin.,married,secondary,no,2343,yes,no,cellular,5,5,0,-1,0,unknown,1,0,False
46,self-employed,married,tertiary,no,137,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
51,blue-collar,married,primary,no,173,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
56,admin.,married,secondary,no,45,no,no,cellular,5,5,0,-1,0,unknown,1,0,False
41,technician,married,secondary,no,1270,yes,no,cellular,5,5,0,-1,0,unknown,1,0,False
46,management,divorced,secondary,no,16,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
57,retired,married,secondary,no,486,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
42,management,single,secondary,no,50,no,no,telephone,5,5,0,-1,0,unknown,0,0,False
30,technician,married,secondary,no,152,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
60,admin.,married,secondary,no,290,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
60,blue-collar,married,primary,no,54,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,entrepreneur,divorced,secondary,no,-37,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
36,management,married,tertiary,no,101,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
55,blue-collar,married,secondary,no,383,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
60,retired,married,tertiary,no,81,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,technician,married,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
46,management,married,tertiary,no,229,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,blue-collar,married,secondary,no,-674,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,blue-collar,married,primary,no,90,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
52,blue-collar,married,primary,no,128,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,blue-collar,married,primary,no,179,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
27,technician,single,tertiary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,blue-collar,married,secondary,no,54,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
47,technician,married,tertiary,no,151,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
34,admin.,married,secondary,no,61,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
59,retired,single,secondary,no,30,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
45,management,married,tertiary,no,523,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
29,services,divorced,secondary,no,31,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
46,technician,divorced,secondary,no,79,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
56,self-employed,married,primary,no,-34,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
36,blue-collar,married,primary,no,448,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,retired,divorced,primary,no,81,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,blue-collar,married,secondary,no,144,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
41,admin.,married,secondary,no,351,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,management,single,tertiary,no,-67,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,management,divorced,tertiary,no,262,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,technician,married,primary,no,0,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
56,technician,divorced,tertiary,no,56,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
51,blue-collar,married,secondary,no,26,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
34,admin.,married,secondary,no,3,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
43,services,married,secondary,no,41,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
52,technician,married,tertiary,no,7,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
33,technician,single,secondary,no,105,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
29,admin.,single,secondary,no,818,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
34,services,married,secondary,no,-16,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
31,blue-collar,married,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
55,services,married,secondary,no,2476,yes,no,cellular,5,5,0,-1,0,unknown,1,0,False
55,management,married,secondary,no,1185,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
32,admin.,single,secondary,no,217,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
38,technician,single,secondary,no,1685,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
55,admin.,single,secondary,no,802,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
28,unemployed,single,tertiary,no,0,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
23,blue-collar,married,secondary,no,94,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
32,technician,single,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
43,services,single,secondary,no,0,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
32,blue-collar,married,secondary,no,517,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
46,blue-collar,married,secondary,no,265,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,housemaid,divorced,primary,no,947,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
34,self-employed,single,secondary,no,3,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,unemployed,married,tertiary,no,42,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
37,blue-collar,married,secondary,no,37,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,blue-collar,married,secondary,no,57,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,services,married,secondary,no,22,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
56,blue-collar,divorced,primary,no,8,yes,no,telephone,5,5,1,-1,0,unknown,0,0,False
48,unemployed,married,secondary,no,293,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
43,services,married,primary,no,3,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
54,blue-collar,married,primary,no,348,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
51,blue-collar,married,secondary,no,-19,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
26,student,single,secondary,no,0,yes,no,telephone,5,5,1,-1,0,unknown,0,0,False
40,management,married,tertiary,no,-4,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,management,married,secondary,no,18,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
50,technician,married,primary,no,139,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
41,services,married,secondary,no,0,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
51,blue-collar,married,tertiary,no,1883,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
60,retired,divorced,secondary,no,216,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
52,blue-collar,married,secondary,no,782,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
48,blue-collar,married,secondary,no,904,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
48,services,married,secondary,no,1705,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,technician,single,tertiary,no,47,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
47,services,single,secondary,no,176,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
40,blue-collar,married,secondary,no,1225,yes,no,cellular,5,5,4,-1,0,unknown,0,0,False
45,technician,married,secondary,no,86,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
26,admin.,single,secondary,no,82,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
52,management,married,tertiary,no,271,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
54,technician,married,secondary,no,1378,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
54,admin.,married,tertiary,no,184,no,no,cellular,5,5,1,-1,0,unknown,1,0,False
50,blue-collar,married,primary,no,0,no,no,cellular,5,5,2,-1,0,unknown,0,0,False
35,blue-collar,married,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,services,married,secondary,no,1357,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
53,entrepreneur,married,secondary,no,19,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
35,retired,single,primary,no,434,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
60,admin.,divorced,secondary,no,92,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,admin.,divorced,secondary,no,1151,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
48,unemployed,married,secondary,no,41,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
34,technician,married,secondary,no,51,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
54,services,married,secondary,no,214,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
51,management,married,secondary,no,1161,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
31,services,married,tertiary,no,37,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
35,technician,divorced,secondary,no,787,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
35,services,married,secondary,no,59,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
38,technician,married,secondary,no,253,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
36,admin.,married,tertiary,no,211,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
58,retired,married,primary,no,235,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
34,blue-collar,single,secondary,no,53,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
31,management,single,tertiary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
51,retired,married,secondary,no,2127,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,management,married,tertiary,no,377,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
55,management,married,tertiary,no,73,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
42,admin.,married,secondary,no,445,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
34,blue-collar,married,secondary,no,243,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
33,blue-collar,single,secondary,no,307,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
38,services,married,secondary,no,155,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
50,technician,divorced,tertiary,no,173,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
43,management,married,tertiary,no,400,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
61,blue-collar,divorced,primary,no,1428,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
47,admin.,married,secondary,no,219,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
48,self-employed,married,tertiary,no,7,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,blue-collar,married,secondary,no,575,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
35,student,single,tertiary,no,298,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
35,services,married,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
41,management,married,tertiary,no,176,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
41,management,married,tertiary,no,517,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,services,single,secondary,no,257,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
42,retired,married,secondary,no,56,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
38,blue-collar,married,secondary,no,-390,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,retired,married,secondary,no,330,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
59,housemaid,divorced,primary,no,195,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
36,services,married,secondary,no,301,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
54,blue-collar,married,primary,no,-41,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
40,technician,married,tertiary,no,483,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
47,technician,married,secondary,no,28,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
53,unemployed,married,tertiary,no,13,no,no,cellular,5,5,2,-1,0,unknown,0,0,False
46,housemaid,married,primary,no,965,no,no,telephone,5,5,0,-1,0,unknown,0,0,False
39,management,married,tertiary,no,378,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
40,unemployed,married,secondary,no,219,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
28,blue-collar,married,primary,no,324,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
35,entrepreneur,divorced,secondary,no,-69,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
55,retired,married,secondary,no,0,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
43,technician,divorced,secondary,no,205,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
48,blue-collar,married,primary,no,278,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
58,management,married,secondary,no,1065,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
33,management,single,tertiary,no,34,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
36,blue-collar,married,secondary,no,1033,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
53,services,divorced,secondary,no,1467,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
47,blue-collar,married,primary,no,-12,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
31,services,married,secondary,no,388,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
57,entrepreneur,married,secondary,no,294,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
53,blue-collar,married,primary,no,1827,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
55,blue-collar,married,primary,no,627,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
45,blue-collar,married,primary,no,25,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,admin.,divorced,secondary,no,315,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
37,blue-collar,married,primary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,admin.,divorced,secondary,no,66,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
49,blue-collar,divorced,primary,no,-9,yes,yes,telephone,5,5,0,-1,0,unknown,0,0,False
46,technician,married,secondary,no,349,yes,yes,telephone,5,5,0,-1,0,unknown,0,0,False
43,entrepreneur,married,secondary,no,100,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
38,admin.,married,secondary,no,0,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
43,technician,married,secondary,no,434,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
49,management,married,tertiary,no,3237,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
42,management,married,secondary,no,275,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
22,blue-collar,single,secondary,no,0,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
40,management,married,tertiary,no,207,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,blue-collar,married,secondary,no,483,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
51,services,married,secondary,no,2248,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
49,admin.,married,secondary,no,428,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,blue-collar,married,secondary,no,0,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
34,services,single,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,technician,divorced,secondary,no,140,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
50,management,single,tertiary,no,297,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,blue-collar,married,primary,no,279,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
59,entrepreneur,divorced,secondary,no,901,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
30,technician,single,secondary,no,2573,yes,no,telephone,5,5,1,-1,0,unknown,0,0,False
36,services,married,secondary,no,143,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
40,blue-collar,married,secondary,no,475,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
53,blue-collar,married,secondary,no,70,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
34,management,single,tertiary,no,318,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
37,technician,married,secondary,no,275,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
42,management,divorced,tertiary,no,742,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
41,entrepreneur,married,primary,no,236,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
30,student,single,tertiary,no,25,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
37,management,single,tertiary,no,600,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,admin.,divorced,secondary,no,-349,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
41,blue-collar,married,primary,no,183,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
40,blue-collar,married,primary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
42,management,single,tertiary,no,0,yes,yes,cellular,5,5,1,-1,0,unknown,1,0,False
40,blue-collar,divorced,primary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,technician,married,secondary,no,1078,yes,no,cellular,5,5,3,-1,0,unknown,0,0,False
56,entrepreneur,divorced,secondary,no,155,no,no,cellular,5,5,2,-1,0,unknown,0,0,False
37,admin.,married,secondary,no,190,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
59,retired,married,secondary,no,319,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
39,services,divorced,secondary,no,-185,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
49,services,married,secondary,no,47,no,no,telephone,5,5,1,-1,0,unknown,0,0,False
38,services,single,secondary,no,570,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
36,self-employed,married,tertiary,no,19,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
50,blue-collar,married,primary,no,61,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
41,admin.,married,secondary,no,-62,yes,yes,cellular,5,5,1,-1,0,unknown,0,0,False
54,technician,married,tertiary,no,258,no,no,cellular,5,5,3,-1,0,unknown,0,0,False
58,blue-collar,married,primary,no,76,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
30,blue-collar,single,secondary,no,0,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
33,admin.,single,secondary,no,352,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
47,admin.,married,secondary,no,368,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
50,technician,single,tertiary,no,339,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
32,blue-collar,married,secondary,no,1331,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
40,self-employed,married,secondary,no,672,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
37,management,married,tertiary,no,58,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
54,technician,single,tertiary,no,447,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
24,student,single,secondary,no,423,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
54,management,married,tertiary,no,0,no,no,cellular,5,5,1,-1,0,unknown,0,0,False
34,technician,married,secondary,no,19,yes,no,cellular,5,5,3,-1,0,unknown,0,0,False
56,technician,divorced,primary,no,13,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
31,blue-collar,single,secondary,no,3,yes,no,telephone,5,5,1,-1,0,unknown,0,0,False
24,student,single,secondary,no,82,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
42,blue-collar,divorced,primary,no,28,yes,no,cellular,5,5,2,-1,0,unknown,0,0,False
57,technician,married,secondary,no,792,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
42,blue-collar,married,primary,no,408,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
51,admin.,married,secondary,no,531,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
57,retired,married,secondary,no,211,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
36,services,single,secondary,no,62,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
53,services,married,tertiary,no,257,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
50,technician,married,secondary,no,1234,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
